0:	1.474755269818E-05
1:	2.599182600876E-05
2:	3.607105594520E-05
3:	4.720994146884E-05
4:	5.941808677902E-05
5:	7.012699921831E-05
6:	8.023027748340E-05
7:	8.932341163475E-05
8:	9.747591330222E-05
9:	1.064681571480E-04
10:	1.146418958902E-04
11:	1.238017899290E-04
12:	1.337803026338E-04
13:	1.411486459836E-04
14:	1.470947982972E-04
15:	1.542158489722E-04
16:	1.622609574126E-04
17:	1.712844110722E-04
18:	1.797968932650E-04
19:	1.870776672017E-04
20:	1.937170024003E-04
21:	2.012153773375E-04
22:	2.104988891152E-04
23:	2.208330916685E-04
24:	2.301766390303E-04
25:	2.380343557040E-04
26:	2.449826960011E-04
27:	2.525394969963E-04
28:	2.614650375291E-04
29:	2.709610800726E-04
30:	2.799578452042E-04
31:	2.879026883438E-04
32:	2.953620989832E-04
33:	3.032507556046E-04
34:	3.119468237231E-04
35:	3.210535780877E-04
36:	3.298670414267E-04
37:	3.380038331231E-04
38:	3.457465649338E-04
39:	3.537601790584E-04
40:	3.623783161345E-04
41:	3.713280459722E-04
42:	3.800574961050E-04
43:	3.882850449726E-04
44:	3.963900372793E-04
45:	4.049430809206E-04
46:	4.138336188183E-04
47:	4.229301776879E-04
48:	4.319458000637E-04
49:	4.407036197888E-04
50:	4.493206850666E-04
51:	4.580501613051E-04
52:	4.670452399351E-04
53:	4.762090534692E-04
54:	4.852938150688E-04
55:	4.941917728740E-04
56:	5.030039298371E-04
57:	5.119067544810E-04
58:	5.209885193113E-04
59:	5.301798423469E-04
60:	5.393445304400E-04
61:	5.483979139060E-04
62:	5.573852785223E-04
63:	5.664394062214E-04
64:	5.756397827169E-04
65:	5.849388672212E-04
66:	5.942281897763E-04
67:	6.034546005819E-04
68:	6.126679314198E-04
69:	6.219516277763E-04
70:	6.313420361713E-04
71:	6.408136748567E-04
72:	6.503554362143E-04
73:	6.598717439882E-04
74:	6.693788589949E-04
75:	6.789326771135E-04
76:	6.885702294748E-04
